league,season,match_id,isResult,home_id,home_team,home_abbr,away_id,away_team,away_abbr,home_goals,away_goals,home_xG,away_xG,datetime,forecast_win,forecast_draw,forecast_loss
EPL,2021/2022,16459,TRUE,80,Chelsea,CHE,79,Norwich,NOR,7,0,3.10509,0.267429,2021-10-23 11:30:00,0.9608,0.0353,0.0039
EPL,2021/2022,16460,TRUE,78,Crystal Palace,CRY,86,Newcastle United,NEW,1,1,2.25588,0.721813,2021-10-23 14:00:00,0.7766,0.1673,0.0561
EPL,2021/2022,16461,TRUE,72,Everton,EVE,90,Watford,WAT,2,5,1.84089,3.10344,2021-10-23 14:00:00,0.1422,0.1764,0.6814
EPL,2021/2022,16462,TRUE,245,Leeds,LED,229,Wolverhampton Wanderers,WOL,1,1,1.71313,0.858644,2021-10-23 14:00:00,0.6119,0.2536,0.1345
EPL,2021/2022,16464,TRUE,74,Southampton,SOU,92,Burnley,BUR,2,2,1.42567,0.673195,2021-10-23 14:00:00,0.5749,0.2845,0.1406
EPL,2021/2022,16458,TRUE,220,Brighton,BRI,88,Manchester City,MCI,1,4,1.1695,3.57376,2021-10-23 16:30:00,0.0199,0.0811,0.899
EPL,2021/2022,16457,TRUE,244,Brentford,BRE,75,Leicester,LEI,1,2,1.16789,1.00254,2021-10-24 13:00:00,0.3902,0.3246,0.2852
EPL,2021/2022,16465,TRUE,81,West Ham,WHU,82,Tottenham,TOT,1,0,1.73468,0.672198,2021-10-24 13:00:00,0.6769,0.2235,0.0996
EPL,2021/2022,16463,TRUE,89,Manchester United,MUN,87,Liverpool,LIV,0,5,1.35584,4.04765,2021-10-24 15:30:00,0.0288,0.0659,0.9053
EPL,2021/2022,16468,TRUE,75,Leicester,LEI,83,Arsenal,ARS,0,2,1.98801,1.10288,2021-10-30 11:30:00,0.6172,0.2317,0.1511
EPL,2021/2022,16467,TRUE,92,Burnley,BUR,244,Brentford,BRE,3,1,2.72901,0.834312,2021-10-30 14:00:00,0.8299,0.1193,0.0508
EPL,2021/2022,16469,TRUE,87,Liverpool,LIV,220,Brighton,BRI,2,2,1.39778,1.51032,2021-10-30 14:00:00,0.3222,0.279,0.3988
EPL,2021/2022,16470,TRUE,88,Manchester City,MCI,78,Crystal Palace,CRY,0,2,0.65739,1.05029,2021-10-30 14:00:00,0.2045,0.3281,0.4674
EPL,2021/2022,16471,TRUE,86,Newcastle United,NEW,80,Chelsea,CHE,0,3,0.157616,2.16608,2021-10-30 14:00:00,0.0067,0.0614,0.9319
EPL,2021/2022,16474,TRUE,90,Watford,WAT,74,Southampton,SOU,0,1,0.852556,1.90757,2021-10-30 14:00:00,0.1184,0.2165,0.6651
EPL,2021/2022,16473,TRUE,82,Tottenham,TOT,89,Manchester United,MUN,0,3,1.15787,1.38612,2021-10-30 16:30:00,0.2873,0.3069,0.4058
EPL,2021/2022,16472,TRUE,79,Norwich,NOR,245,Leeds,LED,1,2,0.661887,1.16855,2021-10-31 14:00:00,0.1855,0.3103,0.5042
EPL,2021/2022,16466,TRUE,71,Aston Villa,AVL,81,West Ham,WHU,1,4,0.687551,2.66391,2021-10-31 16:30:00,0.0209,0.0903,0.8888
EPL,2021/2022,16475,TRUE,229,Wolverhampton Wanderers,WOL,72,Everton,EVE,2,1,1.69344,1.69767,2021-11-01 20:00:00,0.3571,0.2722,0.3707
EPL,2021/2022,16484,TRUE,74,Southampton,SOU,71,Aston Villa,AVL,1,0,0.89818,0.536077,2021-11-05 20:00:00,0.4546,0.3594,0.186
EPL,2021/2022,16483,TRUE,89,Manchester United,MUN,88,Manchester City,MCI,0,2,0.759561,2.04202,2021-11-06 12:30:00,0.0837,0.1908,0.7255
EPL,2021/2022,16477,TRUE,244,Brentford,BRE,79,Norwich,NOR,1,2,2.79229,1.15797,2021-11-06 15:00:00,0.7832,0.1534,0.0634
EPL,2021/2022,16479,TRUE,80,Chelsea,CHE,92,Burnley,BUR,1,1,3.00585,0.674072,2021-11-06 15:00:00,0.8798,0.0929,0.0273
EPL,2021/2022,16480,TRUE,78,Crystal Palace,CRY,229,Wolverhampton Wanderers,WOL,2,0,2.65161,0.25416,2021-11-06 15:00:00,0.9354,0.057,0.0076
EPL,2021/2022,16478,TRUE,220,Brighton,BRI,86,Newcastle United,NEW,1,1,1.43123,0.227321,2021-11-06 17:30:00,0.7823,0.1837,0.034
EPL,2021/2022,16476,TRUE,83,Arsenal,ARS,90,Watford,WAT,1,0,1.49208,0.491659,2021-11-07 14:00:00,0.6791,0.2449,0.076
EPL,2021/2022,16481,TRUE,72,Everton,EVE,82,Tottenham,TOT,0,0,0.597906,0.801798,2021-11-07 14:00:00,0.2344,0.3843,0.3813
EPL,2021/2022,16482,TRUE,245,Leeds,LED,75,Leicester,LEI,1,1,1.96551,0.795292,2021-11-07 14:00:00,0.7108,0.2078,0.0814
EPL,2021/2022,16485,TRUE,81,West Ham,WHU,87,Liverpool,LIV,3,2,1.25298,1.45641,2021-11-07 16:30:00,0.3099,0.2842,0.4059
EPL,2021/2022,16488,TRUE,75,Leicester,LEI,80,Chelsea,CHE,0,3,0.499504,2.57178,2021-11-20 12:30:00,0.0208,0.1023,0.8769
EPL,2021/2022,16486,TRUE,71,Aston Villa,AVL,220,Brighton,BRI,2,0,1.06946,0.582787,2021-11-20 15:00:00,0.4855,0.336,0.1785
EPL,2021/2022,16487,TRUE,92,Burnley,BUR,78,Crystal Palace,CRY,3,3,1.04224,1.7483900000000001,2021-11-20 15:00:00,0.2089,0.2415,0.5496
EPL,2021/2022,16491,TRUE,86,Newcastle United,NEW,244,Brentford,BRE,3,3,2.18388,1.23275,2021-11-20 15:00:00,0.6076,0.2257,0.1667
EPL,2021/2022,16492,TRUE,79,Norwich,NOR,74,Southampton,SOU,2,1,0.43778,1.13118,2021-11-20 15:00:00,0.142,0.3171,0.5409
EPL,2021/2022,16494,TRUE,90,Watford,WAT,89,Manchester United,MUN,4,1,2.73393,1.66794,2021-11-20 15:00:00,0.6277,0.2073,0.165
